"PID","Ethnicity","Sex.1m","Age","height","weight"
"AABWV",2,"1",20,165.3,62.95
"AAMUT",2,"2",30,155.2,50.65
"AAF29",2,"2",17,146.1,42.1
"AAB2J",2,"2",4,96.2,13.95
"AAD9M",2,"2",14,149.2,49.8
"AAHTR",2,"2",40,148.6,44.7
"AADUG",2,"1",39,159.3,60.3
"AAEAN",2,"1",18,164.4,63.35
"AABX8",2,"1",17,160.1,48.85
"AAHTD",2,"1",10,123.6,24.8
"AACDH",2,"2",14,144.3,42.5
"AAM66",2,"1",6,101.3,15.85
"AAMHD",2,"1",43,168.5,66.8
"AAM2H",2,"2",39,155.4,57.1
"AAJHP",2,"2",15,156.2,55.9
"AAEGT",2,"1",6,115.9,21.95
"AANUF",2,"1",5,105.6,18.1
"AAADX",2,"1",1,NA,NA
"AAMY9",2,"2",22,156,57.45
"AAN3C",2,"2",24,160,53.35
"AAECF",2,"1",31,160,58.35
"AAJTF",2,"2",15,151.8,52.95
"AAKBD",2,"1",5,98,14.85
"AAJBK",2,"1",8,122.9,23.65
"AAFPH",2,"2",6,110,18.6
"AAFWQ",2,"2",4,94,13.8
"AADR3",2,"2",2,66,8.65
"AAH7W",2,"1",2,86,11.45
"AAKM4",2,"2",29,146,49.65
"AAE8V",2,"2",42,144,48
"AAF6A",2,"1",28,162,65
"AAHT9",2,"1",50,165.1,61.95
"AABWJ",2,"1",11,131.1,27.75
"AANYB",2,"1",11,122.2,23.85
"AAEV9",2,"2",7,103,15.7
"AAA9E",2,"2",6,104.1,16.55
"AAMV4",2,"1",20,164.1,76.3
"AAKTZ",2,"1",19,156.4,53.5
"AAMAH",2,"1",16,158.2,53.9
"AAMW2",2,"2",18,148.3,45.15
"AAA37",2,"2",31,147,46.7
"AAEJ8",2,"1",29,167.5,61.1
"AAGDP",2,"2",12,138.5,29.9
"AABFW",2,"2",32,151.6,44.85
"AANUZ",2,"1",35,166.3,75.6
"AAJN7",2,"2",11,128.4,27.1
"AAAVF",2,"2",8,116.3,22.4
"AAFQ9",2,"1",15,173,65
"AAMQR",2,"2",20,146.7,48.15
"AAAQY",2,"1",26,158,56.95
"AADK7",2,"2",20,146.9,47.6
"AAFYC",2,"2",47,146.1,46.95
"AAG78",2,"1",2,82,10.95
"AADAC",2,"2",28,150.7,53.5
"AAE3N",2,"2",2,70.7,8.55
"AAEE2",2,"2",6,103.1,16.8
"AAMYQ",2,"2",8,117.1,21.9
"AABNZ",2,"2",12,142.9,38.75
"AAA3B",2,"1",25,160.2,63
"AAM8U",2,"2",30,147.9,51.4
"AAFAY",2,"2",28,153.6,55.5
"AAEF7",2,"1",55,156.6,53.55
"AAB8B",2,"2",58,151.1,49.15
"AAAV4",2,"1",37,156.5,49.45
"AAHQR",2,"2",11,135.6,31.9
"AAGUH",2,"1",8,119,23
"AANF3",2,"1",3,83.9,11.6
"AAG4X",2,"1",12,140.6,34.4
"AAAZM",2,"2",5,98,14.5
"AAB4K",2,"2",4,82.5,8.4
"AAFNM",2,"2",4,95.2,13.2
"AAAAW",2,"1",8,125.6,27.5
"AAFAF",2,"1",6,108.8,18.65
"AAC83",2,"2",10,131.2,27.85
"AAMWT",2,"1",2,82.9,11.4
"AAJDK",2,"1",15,153.5,46.85
"AAB4V",2,"2",12,149.6,51.3
"AAFNT",2,"1",48,152.5,48.1
"AAH34",2,"2",38,153.4,63.85
"AAFGQ",2,"2",30,153.4,52
"AAM34",2,"2",8,117.8,21.4
"AAJCD",2,"2",5,100.5,15.35
"AAERQ",2,"1",37,168.2,57.35
"AABKX",2,"1",35,161.5,53.45
"AACY6",2,"1",38,160.6,58.8
"AAK2W",2,"1",12,131.3,28.4
"AAE8E",2,"1",8,122.4,24.45
"AANNQ",2,"1",13,139.8,34.85
"AAH4E",2,"2",9,117.7,23
"AAJVV",2,"2",13,143.8,44.2
"AAB2A",2,"2",8,122.5,23.95
"AAKV3",2,"2",10,122,22.7
"AAMYY",2,"1",15,156.2,55.6
"AAGXC",2,"1",36,153.8,54.9
"AAFX2",2,"2",36,152.2,48.6
"AACEH",2,"1",8,112,20.2
"AAAAV",2,"1",6,107.4,18.7
"AAK74",2,"1",3,92.9,15.2
"AANT2",2,"1",15,157.5,48.67
"AAAHQ",2,"1",21,167.7,75
"AAMV8",2,"1",25,160.6,56.85
"AADKB",2,"1",45,161.1,62.5
"AAB46",2,"2",44,151.9,48.05
"AAN6F",2,"1",9,127.5,27.45
"AAFFW",2,"2",20,157,54.65
"AAE7H",2,"1",4,95.3,14.35
"AAF4P",2,"2",2,85.7,11.7
"AAKUJ",2,"1",38,160.5,62.15
"AAAWC",2,"2",11,141.5,36.8
"AAGHT",2,"2",33,148.5,67.8
"AAH2P",2,"2",9,120,22.15
"AAHPT",2,"1",11,135.6,28.3
"AAHRG",2,"1",6,105.1,17.15
"AAFKW",2,"2",47,139,33.2
"AAM8P",2,"1",54,164.6,59.95
"AAETX",2,"1",16,162.2,55.95
"AAKVC",2,"2",26,157.2,51.4
"AAJTX",2,"2",5,99.2,15.05
"AAGAJ",2,"2",43,146,49.35
"AAK6B",2,"2",13,143.6,39.05
"AAFH4",2,"2",5,100.9,15.35
